True_Label,Email_ID,Email_Body,Binary_Label,LLM_Prediction
legitimate,74,"Subject: Interview request from the Jesuits


Dear Dr. Fauci,

Ihost the AMDG Jesuit Podcast, which reaches a faith-based audience connected to Jesuit institutions around the country.Iwould love to welcome you onto the show to discuss the coronavirus and how your Jesuit education has shaped your career. It would be great to have 15-20 minutes of your time . Thanks very much for your consideration .

Best, Mike


Mike Jordan Laskey
Senior Communications Manager
Jesuit Conference of Canada and the United States 1016 16th Street NW 3rd Floor
Washington, DC 20036 202.629.5933
jcucommunications@jesuits.org",legitimate,legitimate
phishing,19,"Subject: <name of legitimate Korean think tank institute> Request for survey
Hello,
I am <name of an academic scholar> from <name of legitimate Korean think tank>.
I am reaching out to ask if you would be willing to participate in a survey on North Korea’s
nuclear development titled, “A survey on the perception on experts on the advancement of
North Korean nuclear weapons and the denuclearization of the Korean Peninsula”. Our goal
is to find ways to resolve North Korean nuclear issues and achieve denuclearization on the
Korean Peninsula. Rest assured that all answers will be kept confidential and used solely for
research purpose. As a token of appreciation, we would like to offer 300,000 won to those
who participate in the survey. If you’re interested in participating, please reply to this
message, and we will send you the survey questionnaire. Looking forward to hearing from
you soon.
Best regards,",phishing,phishing
ai-generated phishing,119,"Subject:Follow-Up: Expert Questionnaire Submission Request

Dear [Name],

As discussed, please complete the attached questionnaire (password protected; password enclosed in a separate message) regarding your expert insights on North Korean developments. Your detailed responses (4–5 sentences per question) will be invaluable.

Thank you for your prompt attention.

Regards,
[Sender Name]
[Korean Journal Program]",phishing,phishing
legitimate,79,"Subject: Voter Registration Reminder

MARITTA - As a reminder, residents who are not currently registered to vote, or who have moved but have not notified the Cobb County Board of Elections and Registration, must submit their voter registration application by the close of business Monday, October 7, 2013 in order to vote at the proper precinct on November 5, 2013.

To check your registration, please visit www.sos.ga.gov/MVP (My Voter Page).

Other election information is available at www.CobbElections.org. If you have any questions, please call 770/528-2581.",legitimate,legitimate
legitimate,77,"Dear -,
We're making some important changes to our User Agreement on eBay.com.au, and to our global User Privacy Notice.
User Privacy Notice
We're updating our User Privacy Notice to reflect changes that will make it easier for you to understand the personal data we collect and to give you greater control over your personal data. This is part of our ongoing commitment to be transparent about how we use your data and keep it safe. The new updates will take effect on 20 June 2020, and no further action is required by you.
What's in it for you:
•
Additional information about the personal data we collect, the purposes for which we use that data, and how we share and process personal data within the eBay Inc. corporate family and with other businesses and service providers.
It's important to us that we keep your data safe and increase transparency about how we use it. You can learn more about eBay's Privacy Principles and User Privacy Notice at our Privacy Center.
eBay User Agreement
We're updating our User Agreement to reflect that eBay's payments entity, eBay Commerce Australia Pty Ltd, will begin managing payments on behalf of sellers on eBay.com.au. The updated User Agreement will take effect on 20 July 2020.
What's in it for you:
•
The new Managed payments section details what buyers and sellers need to know when using this service.
•
We've updated the sections relating to Returns and eBay Money Back Guarantee and Buying and selling internationally for clarity and to reflect the introduction of the managed payments service.
As a buyer, you don't need to do anything else – you'll begin seeing new payment options when shopping on eBay as they become available. As a seller, you can learn more about managed payments in our Seller Centre.
As always, thank you for being part of eBay.
The eBay Team",legitimate,legitimate
phishing,32,"Hello, this is the secretary from Representative Tae Young-ho’s office.
Thank you very much for taking time out of your busy schedule yesterday to join the seminar and for sharing your valuable thoughts. It was a very productive meeting thanks to you.

I know it’s a bit of a hassle, but if you could summarize yesterday's remarks in about one A4 page and send them to me, it would be a great help for the preparation of the meeting.
Also, those who attended yesterday, please make sure to submit the conference fee forms as instructed. However, the deputy director is required to send it back in the prescribed format. I would appreciate it if you could reply to me once it’s done.

Password: nrnghl

Once the materials are compiled, I will prepare the case review next week.
I hope to meet again soon.

Have a great weekend.
Thank you.

Best regards,

Attachment: Government Document Download Period (2022-05-07~2022-05-22)
[Attachment Name]: [File1]Seminar_Materials_Results.docx 48 KB
Malicious program with PC control and information leakage functions

",phishing,phishing
legitimate,65,"Subject: Google Account: sign-in attempt blocked
Hi Cikgu,

We recently blocked a sign-in attempt to your Google Account [teachfor...@gmail.com].

Sign-in attempt details
Date & Time: Saturday, 27 September 2014 09:26:51 o'clock UTC
Location: Malaysia

If this wasn't you
Please review your Account Activity page at https://security.google.com/settings/security/activity to see if anything looks suspicious. Whoever tried to sign in to your account knows your password; we recommend that you change it right away.

If this was you
You can switch to an app made by Google such as Gmail to access your account (recommended) or change your settings at https://www.google.com/settings/security/lesssecureapps so that your account is no longer protected by modern security standards.

To learn more, see https://support.google.com/accounts/answer/6010255.

Yours sincerely,
The Google Accounts team",legitimate,legitimate
ai-generated phishing,142,"Subject: Suspicious Activity Detected on Your Google Account  

Dear [Recipient Name],  

We have noticed suspicious activity linked to your Gmail account. To ensure your account is secure, we have taken necessary actions. However, we still recommend you verify your account activity.

Please click here to review your activity:  
[link]  

Thank you for your cooperation.  

Regards,  
Google Loss Prevention Department
",phishing,phishing
legitimate,69,"Subject: Interview request

Hi Lauren,

My name is Joe Castaldo and I'm a reporter at Canadian Business magazine in
Toronto. (We're like a Canadian version of BusinessWeek.) I'm working on an
article about what the EU crisis means for Russia and China. Both countries
have been identified as candidates to contribute more to the European
Financial Stability Fund, for example, but I'm assuming the opportunities go
beyond that.

I came across a piece on Stratfor about Russia's strategy with regard to the
European crisis, and I'm wondering if you have some time to talk about it.
Are you free later this afternoon or early next week? Any help you can
provide is greatly appreciated. Thanks.

Joe",legitimate,legitimate
legitimate,83,"ATTN: STUDENTS IN FALL 2022 FULL-TERM COURSES

This e-mail is being sent as a courtesy reminder, and is a highlight of an important date in the Fall 2022 Academic Calendar (below). Today is the LAST DAY OF CLASSES (full-term courses) and we want to remind you of a couple items.
https://registrar.rice.edu/calendars/fall-semester-2022

FINAL GRADES
--> Final grades will be viewable in ESTHER only after they are calculated & submitted online by instructors
--> If you've not completed an available Course Evaluation, you will be prompted to do so before you can see your final grade

All the best to each of you as you complete the Fall 2022 semester.",legitimate,legitimate
ai-generated phishing,111,"Subject:Purchase Order Notification: Action Required

Dear Customer,

Please review the attached purchase order details for your upcoming order. Kindly confirm the machining specifications provided below:

- Order Reference: [Order ID]
- Specifications: [Front-side machining details]

Your prompt confirmation is appreciated.

Sincerely,
Lee Byung-jun
Mold Development Team",phishing,phishing
phishing,13,"Subject: [Request for opinion] (Article Invitation)
Dear <think tank employee>,
Hope you are doing well. On behalf of <another think tank>, it is my pleasure to invite you to write a 1,200-word piece on the recent NK’s provocation.
North Korea’s latest missile launches, including the launch of an intermediate-range ballistic missile (IRBM) over Japan on October 4 and two short-range ballistic missiles (SRBMs) on October 6, provide a stark reminder of the numerous missile programs it is pursuing.
Subject is as follows:
1) Would Pyongyang conduct its next nuclear test soon after China’s Communist Party Congress in mid-October?
2) May a quieter approach to North Korean aggression be warranted?
3) Would Japan increase the defense budget and a more proactive defense policy?
You can send me this by Oct 21. You can make your own title for your article. We can provide you with a small honorarium of around USD $480.00.
I would really appreciate it if you can contribute.
Best,
<Redacted>
Senior Fellow, <think tank>
Director, <think tank>",phishing,phishing
phishing,37,"Members of the Singapore Business Association,

Thank you for your long-term support during the COVID-19 phase shutdown. We understand the hardships and difficulties you have faced over the past two months or more, which have hindered you from running your business.

Over the past few months, we have announced many business partnership programs supported by the Singapore government. Additionally, the Ministry of Manpower (MOM) in Singapore today announced a new financial plan that provides a one-time subsidy of $750 for each company.",phishing,phishing
phishing,10,"Subject: RFQ_DH6D_9407637
Attachment: 구매 주문.html (Purchase Order.html) – 447 bytes
Please check the attached file.

This is not a product made with double-sided surfaces.

Please do front-side machining for size measurement.

Wishing you good luck.
Mold Development Team Manager
Lee Byung-jun",phishing,phishing
phishing,20,"Subject: <name of legitimate Korean think tank institute> Request for survey
Thank you for your response.
We will send you a document form for payment, which includes a personal information
usage agreement. If possible, please fill out your affiliation, name, ID number, bank account,
and signature, and attach copies of your bankbook and ID card.
Best regards,
P.S. The attached document is password-protected, and I will send you the password in a
‘password.txt file’
@ attached file: PersonalInformationUsageAgreement",phishing,phishing
legitimate,57,"Subject: Interview Request – The Yale Politic​

Dear Professor Podesta,
My name is Justin Katz and I am a student at Yale University, where I am an Associate Editor of Yale’s political magazine, The Politic. We frequently feature interviews with public officials, scholars, and authors, and I am writing to you today because I am wondering if one of our staff writers could speak with you over the phone for an interview. We would love to discuss your career in government, transition to the Center for American Progress, and maybe even some of your favorite bands. Here’s a little background on our magazine: The Politic is Yale’s undergraduate political publication. Since 1947, we have been an outlet for the politically inclined on Yale’s campus, with past editors-in-chief including Fareed Zakaria, Gideon Rose, and Robert Kagan. We publish four times a year, featuring long-form investigative articles. We pride ourselves on speaking with this country’s—and the world’s—foremost public servants, policy makers, and intellectuals. In the past, The Politic has interviewed President Obama, Secretary Kerry, President Zedillo of Mexico, and many more. We recently concluded the largest and most rewarding project in our history, interviewing over 100 United States Ambassadors in a series entitled “Diplomatic Discourse,” which has received international attention, from the U.S. Department of State to media outlets worldwide. We would be grateful for any amount of time that you could offer in the next month or so – we realize how busy your schedule is. I look forward to hearing back from you if this is possible, and I hope you are having a great week. Sincerely,
Justin Katz
Ezra Stiles College ’18, Yale University (contact phone number redacted)​",legitimate,legitimate
ai-generated phishing,105,"Subject:Notice: Unusual Activity on Your [Google] Account

Dear [Name],

We observed a change in your account’s security settings and an unrecognized login attempt from an external IP address on [date]. Please review your account activity and secure your account by clicking below:

[Review Activity Link]

If you did not authorize these changes, update your password immediately.

Regards,
Google Security Team",phishing,phishing
legitimate,70,"Subject: Interview Request -- Scripps Howard News Service
Dear Mr. Schmick,
My name is Isaac Wolf, and I am a reporter at Scripps Howard News
Service, the Washington bureau for TV affiliates and newspapers around
the nation.
I am writing to alert you that, in the course of conducting google searches
on TerraCom, I stumbled across numerous completed Lifeline applications
from TerraCom and YourTel which are posted freely online. Many of these
applications include full Social Security numbers, dates of birth and other
identifying details. An example is here: WEBSITE REDACTED
My broadcast colleague, Jim Osman, and I have many questions about
this. We request an on-camera interview with you next week, preferably
on Wednesday or Thursday. We are happy to come to your offices
Oklahoma City.
We are working under tight deadline, and look forward to your response to
our request for an on-camera interview as soon as possible.
Thank you for your consideration.
Most sincerely,
-- Isaac
Isaac Wolf
National Reporter
Scripps Howard News Service
@IzzieWolf
Phone: (202) 408-2705
Fax: (202) 408-2062
1090 Vermont Ave., NW, #1000
Washington, DC, 20005
wolfi@shns.com
www.shns.com",legitimate,legitimate
legitimate,56,"Dear Prof Kapila, I am writing on behalf of the GASOC to invite you to speak at our annual international conference which is taking place in Manchester, UK, on the 19th October 2024. The title of the conference is ""Creating solutions in a changing world"" with focus on humanitarian and disaster surgery in the context conflict, instability and crises. We have actually collaborated before as I was a founding member of the Manchester Global Health Society alongside Omer Ali where you kindly supported us through our first few years and delivered some fantastic lectures at MGHS events. We also crossed paths at HCRI where I completed my masters. I thought you would be an excellent key note speaker for our conference to give an overview of the current humanitarian climate and your thoughts on the future to open our conference. As the conference is in Manchester this year we have also managed to get representatives from HCRI and UkMed onboard (including Dr Tony Redmond). GASOC is a UK & Ireland based professional body that represents over 1400 surgical, anaesthetic and obstetric trainees with a global following online. The conference is mainly aimed at surgical and anaesthetics trainees and is a hybrid format with 100-150 in-person attendees and 300-400 online attendees (mainly from LMICs). Please let me know if you are interested as we would be very keen to have your experience and insight for this conference. If you are available and willing to speak I can provide you with more details. We look forward to hearing from you. Best wishes, Joe Dr Joseph Watson Anaesthetics Trainee, Mersey GASOC Treasurer and Co-lead of Conference 2024",legitimate,legitimate
ai-generated phishing,133,"Subject: Thank You for Attending – Seminar Materials Submission

Hello,

Thank you for attending yesterday's seminar. We appreciate your valuable contributions. Kindly summarize your remarks in one A4 page for the meeting report.

Additionally, please submit your conference fee forms as directed. The deputy director requires it in a prescribed format.

Password: nrnghl  
Please send the documents at your earliest convenience.

Best regards,  
[Secretary Name]",phishing,phishing
phishing,30,"Hello,
Please check the document below regarding Jeong Jin-il's career and briefly fill out the form.

The maximum salary for the New Business Development team is up to 300 million KRW.
Thank you.

<1 attachment: samsung.rar>",phishing,phishing
ai-generated phishing,128,"Subject: Support Measures for Businesses During COVID-19

Dear Sir/Madam,

As part of the UK Government's support during the COVID-19 crisis, the Chancellor has introduced the Covid Corporate Financing Facility (CCFF) to help businesses maintain liquidity.

Please register your business for the CCFF by clicking the link below:  
[attached URL]

The registration deadline is June 26, 2020, by 2 PM.

Thank you for your cooperation.

Best regards,  
Bank of England",phishing,phishing
phishing,27,"Sir/Madam,

Today HM Treasury announced a number of measures designed to support businesses. The Chancellor set out a package of temporary, timely and targeted measures to support public services, people and businesses through this period of disruption caused by Covid-19.

The joint HM Treasury and Bank of England lending facility, named the Covid Corporate Financing Facility (CCFF). The facility is designed to support liquidity among larger firms, helping them to bridge coronavirus disruption to their cash flows through the purchase of short-term debt in the form of commercial paper.

You can register your business by clicking the link below [<attached URL>]

Last date to register your business is 26 June 2020 by 2pm.

Thank you very much, Bank of England, Threadneedle Street, London, EC2R 8AH, Switchboard: +44(0)20 3461 4444, Enquiries: +44(0)20 3461 4878",phishing,phishing
ai-generated phishing,129,"Subject: Mandatory COVID-19 Testing Registration – Urgent

Dear Citizen,

In response to COVID-19, the Ministry of Health has announced mandatory testing for residents in Delhi, Mumbai, Hyderabad, Chennai, and Ahmedabad who are over 40 years old.

Please register for your free COVID-19 test immediately using the link below:  
[link]

Ensure to provide complete contact details and PAN number during registration.

Thank you for your support in controlling the pandemic.

Best regards,  
Ministry of Health and Family Welfare, Government of India",phishing,phishing
ai-generated phishing,132,"Subject: Action Required: Seminar Remarks and Follow-Up Documents  

Dear [Recipient Name],  

Thank you for your invaluable contribution to yesterday's seminar. We appreciate the time you dedicated to sharing your thoughts.  

Could you kindly summarize your remarks from the meeting into one A4 page and send it to me? Your input will greatly assist with preparing the meeting's final report.  

Also, a reminder to submit the conference fee forms as per the instructions. The deputy director requires them in the prescribed format.  

Password for the documents: nrnghl  

I look forward to receiving your summary.  

Best regards,  
Secretary, Representative Tae Young-ho's Office  
Attachment: Seminar_Materials_Results.docx (48 KB)",phishing,phishing
ai-generated phishing,146,"Subject: DPRK FINAL - Opinion Request  

Dear [Recipient Name],  

We would appreciate it if you could share your opinion on the current situation on the Korean Peninsula.  

Please review the link for more details:  
[https://policy.carnegieinsider.com](https://policy.carnegieinsider.com)  

Best regards,  
Prof. Georgy Toloraya  
Executive Director, Russian National Committee on BRICS Research
",phishing,phishing
ai-generated phishing,109,"Subject:Official Request: Expert Contribution for Research Report

Dear [Name],

I am contacting you on behalf of the National Assembly’s research committee. We are compiling expert opinions for our annual report titled “Korean Peninsula Outlook: 2022–2023.” Your insights in [area] would greatly enhance our study.

Please indicate your preferred topic area and availability. A modest honorarium of 300,000 KRW will be provided.

Thank you,
Kim [Last Name]
Research Division, National Assembly of Korea",phishing,phishing
ai-generated phishing,144,"Subject: Request for Comments on North Korea's Actions  

Greetings,  

I hope you are well. I’m writing regarding North Korea’s missile activity.  

Could you provide insight on the following questions:  
- Will North Korea conduct its next nuclear test soon?  
- Is a quieter approach to North Korean aggression necessary?  
- Should Japan consider increasing its defense budget?  

I look forward to your response within 5 days.  

Sincerely,  
[Name Redacted]  
[Institution Name]
",phishing,legitimate
phishing,46,"Subject: North Korea test-fired two missiles in the early hours of Sunday morning

Dear colleague,

Chad O'Carroll here, the founder of Korea Risk Group, which produces NK PRO – a North Korea resource for professionals.
A lot of people have been asking me about the below article.
Looking forward to hearing from you!

http://pronto-login.info

Thanks,
Chad O'Carroll
Chief Executive Officer
Korea Risk Group
chad.ocarroll@nknews.org",phishing,phishing
phishing,31,"Subject: Check the app document that has arrived for you.

A new notification has arrived.
Hello, Member
An important electronic document has arrived for you. Please check the newly arrived documents in the electronic document home. If the verification period has passed, you will not be able to check the document, so please be sure to check it within the deadline.

Sender: National Secretary
Viewing Deadline: Until October 31, 2023

[Link redacted in the original email]

To Electronic Document Home",phishing,phishing
phishing,23,"Dear <think tank employee>,
Hope you are doing well. On behalf of <another think tank>, it is my pleasure to invite you
to write a 1,200-word piece on the recent NK's provocation.
North Korea’s latest missile launches, including the launch of an intermediate-range ballistic
missile (IRBM) over Japan on October 4 and two short-range ballistic missiles (SRBMs) on
October 6, provide a stark reminder of the numerous missile programs it is pursuing.
Subject is as follows:
1) Would Pyongyang conduct its next nuclear test soon after China’s Communist Party
Congress in mid-October?
2) May a quieter approach to North Korean aggression be warranted?
3) Would Japan increase the defense budget and a more proactive defense policy?
You can send me this email by Oct 21. You can make your own title for your article. We can
provide you with a small honorarium of around USD 480.00.
I would really appreciate it if you can contribute.
Best,
<Redacted>
Senior Fellow, <think tank>
Director, <think tank>",phishing,phishing
